com_id,travelList,distance,num
114,"[274, 275]",213.56689399935885,6.0
115,[280],212.14732464239904,7.0
116,[281],61.11905785644139,98.0
117,"[284, 288]",253.00709849027112,4.0
118,"[285, 292]",262.37600047359985,3.0
119,[286],73.50736283443297,169.0
120,[289],92.14985672632972,173.0
121,[290],78.8853727351905,1.0
122,[293],95.35846547805218,1.0
123,[295],94.65091106926243,1.0
124,[296],49.45922787895271,1.0
125,[299],75.79039349853468,171.0
126,[300],131.3163825494506,3.0
127,[302],27.447853194979924,1.0
128,[303],77.66592292108213,1.0
129,[304],4.654211669065208,1.0
130,[306],74.85360882197202,1.0
131,[307],141.33540288789973,178.0
132,[308],173.94452486521993,1.0
133,"[835, 834, 802, 765, 750, 749, 309, 358]",940.7849934630586,1.0
134,[310],84.43218372164093,1.0
135,"[313, 336]",198.2200437122745,4.0
136,"[803, 787, 757, 315, 734, 728, 720]",479.03170138730457,4.0
137,[316],46.98269656169264,1.0
138,"[317, 357, 364, 388, 938, 407]",1047.3255480280063,432.0
139,"[812, 348, 801, 340, 800, 786, 762, 318, 785, 784, 333, 799, 798, 796, 797, 795, 339]",1240.37740486787,1.0
140,[319],32.5485822328082,1.0
141,[320],37.39976328353087,5.0
142,[321],6.959927004165753,6.0
143,[322],5.961918213521425,1.0
144,"[323, 346]",84.68922212725532,5.0
145,[324],3.03695419073127,8.0
146,"[325, 335, 347]",135.26550968530935,1.0
147,[326],27.67203451024709,4.0
148,[327],0.8915249911144951,6.0
149,"[328, 779]",156.8163463607248,5.0
150,"[329, 778]",156.8163463607248,1.0
151,[330],111.2942831300754,2.0
152,[331],58.29427356073332,193.0
153,"[332, 338]",134.06252548326125,1.0
154,"[334, 356]",145.7524920366302,1.0
155,[337],73.93180597221705,186.0
156,"[891, 870, 826, 804, 341, 343]",660.9010127535568,6.0
157,"[342, 344]",405.9439988171313,9.0
158,[345],12.87444227526802,5.0
159,[349],76.86202567747866,1.0
160,[350],49.7996415538806,4.0
161,[351],43.42989562669814,4.0
162,[352],145.2896122738383,131.0
163,[353],217.76584729387747,121.0
164,"[354, 853]",186.246814641446,6.0
165,"[355, 854]",218.75724537561788,3.0
166,"[914, 896, 881, 836, 359, 842, 827, 805]",1192.8727824767263,3.0
167,"[362, 361, 360, 370]",128.41251002835676,3.0
168,"[857, 840, 363, 829, 818]",225.62434272055742,3.0
169,"[860, 843, 365, 831, 810]",288.7377777806947,19.0
170,"[366, 374, 381, 384]",877.2907597051824,1.0
171,"[367, 822]",186.246814641446,1.0
172,[368],216.6329645625993,2.0
173,"[855, 369]",227.97706041500953,2.0
174,"[371, 386, 392, 411]",515.6412095420395,1.0
175,[372],36.71585087957667,4.0
176,[373],24.50704349032473,4.0
177,"[375, 383, 382, 387]",326.5988821612922,4.0
178,[376],13.818273240649262,2.0
179,"[377, 378, 379]",307.87627239633383,2.0
180,[380],79.79262988949677,216.0
181,"[385, 399, 409]",471.35893508482684,2.0
182,"[931, 916, 900, 389, 390]",600.1179515851339,427.0
183,[391],21.889253886054743,21.0
184,"[393, 923, 403]",449.30055581035344,2.0
185,"[394, 396, 400]",447.160274107797,342.0
186,[395],39.7267216489976,2.0
187,[397],230.13675123830487,1.0
188,"[398, 401, 405]",116.09379933036708,3.0
189,"[408, 922, 402, 917, 901]",732.8711999210624,5.0
190,"[404, 420, 430]",273.87517054070497,243.0
191,[406],74.51769059947097,2.0
192,"[962, 939, 410]",389.8652095652728,1.0
193,[412],89.16141248049142,1.0
194,[413],254.62289195820344,176.0
195,"[414, 422]",196.74231580747696,1.0
196,[415],199.3119017862228,1.0
197,[416],226.50237034385307,2.0
198,[417],69.91460140302544,3.0
199,[418],212.16197728490624,325.0
200,"[419, 423, 432, 975, 968, 954]",657.1151809527515,1.0
201,"[421, 985]",202.65968727189755,20.0
202,"[424, 433, 442, 967, 952, 949]",657.1151809527515,272.0
203,[425],110.77921896178955,1.0
204,"[959, 427, 958, 957, 426]",128.36049958374176,270.0
205,"[428, 435, 434, 981]",219.34240287824804,2.0
206,"[969, 961, 960, 429]",271.8987764377067,273.0
207,"[966, 963, 431, 950]",201.89527152960517,342.0
208,[436],72.94910906803831,1.0
209,"[438, 437]",31.129459347469144,1.0
210,"[440, 439]",193.41261266341112,1.0
211,[441],51.95651979654721,242.0
212,[443],105.98497342036528,2.0
213,[444],8.542177182907103,2.0
214,"[445, 995]",225.6128059005734,26.0
215,"[447, 446]",24.58339339303609,21.0
216,"[449, 986, 448, 453, 1003]",562.9975771981153,16.0
217,[450],72.82002119831547,169.0
218,[451],87.43546457694063,171.0
219,[452],185.07308031979355,502.0
220,"[454, 455, 458]",433.9130713062342,499.0
221,"[457, 1002, 1001, 456, 1009, 1008, 1007, 996]",622.039933051062,6.0
222,[459],176.35746688130408,2.0
223,"[481, 469]",450.072689881065,2.0
224,"[471, 470]",62.466186682095916,507.0
225,"[476, 472]",132.5391572705994,4.0
226,[473],20.214366323127106,3.0
227,[479],56.67502686026704,508.0
228,"[503, 504, 499, 498, 493, 492, 483, 482, 480]",658.1410186138038,510.0
229,[486],36.53146898893999,507.0
230,[487],34.30462583816045,508.0
231,"[540, 533, 513, 494]",504.09946010558235,1.0
232,[514],14.13331378104033,3.0
233,"[516, 515]",228.26119989499128,510.0
234,"[549, 536, 520]",514.2546288556972,1.0
235,"[531, 528, 526, 524]",213.30781891073906,1.0
236,"[544, 539, 534, 530]",454.17168011485535,1.0
237,[532],127.77065968657324,2.0
238,"[559, 551, 550, 545, 546, 542, 537]",368.40740701856,511.0
239,[538],162.664821803235,2.0
240,[548],158.66145309922507,1.0
241,[552],87.06102784309087,12.0
242,[553],14.620059666990592,7.0
243,"[583, 582, 575, 576, 568, 566, 567, 558]",556.8702164517675,510.0
244,"[571, 560]",61.49754166303298,11.0
245,[561],56.98583938677,58.0
246,"[580, 563]",240.7092293365429,1.0
247,[569],55.40523406511317,1.0
248,[570],61.819977846572485,45.0
249,[572],39.47269669643709,11.0
250,"[587, 574]",292.8191586507518,1.0
251,[578],0.3989482393157174,442.0
252,[579],1.6388958970557097,1.0
253,"[597, 586]",204.71696308514882,1.0
254,"[608, 592, 593, 594]",95.47960804856538,511.0
255,"[604, 600, 599]",217.4588649034519,3.0
256,[605],59.30562255566963,3.0
257,"[610, 606]",189.16299470224746,3.0
258,"[629, 613, 607]",128.8117569258522,511.0
259,"[615, 612, 611]",353.3283073488135,5.0
260,"[639, 638, 637, 633, 632, 625, 624, 623, 622, 618, 616]",815.2684258510016,6.0
261,[617],1.4346196609251514,5.0
262,[619],7.58035591291156,1.0
263,[621],223.9923170484245,1.0
264,"[735, 729, 725, 717, 701, 640, 634, 626]",983.4989973484722,4.0
265,[627],9.149275095781627,1.0
266,"[635, 628]",40.1291214175364,507.0
267,"[631, 630]",338.8167956936128,1.0
268,"[646, 636]",351.40830152659987,507.0
269,[641],204.73669793762787,1.0
270,"[643, 642]",371.0872483987148,1.0
271,[644],161.7451276306127,6.0
272,[645],199.2115495916557,5.0
273,"[654, 651, 650, 649, 648]",437.49674627936463,2.0
274,[653],351.0036400283076,1.0
275,[657],161.90105363836275,1.0
276,"[680, 679, 672, 673, 674, 666, 665, 658]",857.909226658717,4.0
277,"[662, 661]",74.78348502307347,1.0
278,"[664, 663]",337.66182003435677,2.0
279,[669],15.555892647176906,1.0
280,[670],105.06775534222162,1.0
281,"[712, 707, 692, 681, 675]",282.36881177810136,1.0
282,[677],23.55542773130986,1.0
283,[682],30.04665871251064,1.0
284,"[711, 697, 687]",505.06620050256856,2.0
285,"[756, 719, 699, 690, 689]",633.6645452768366,2.0
286,"[716, 706, 700, 691]",497.2954177343457,3.0
287,[695],32.379032394555004,1.0
288,"[705, 696]",281.6128619258407,1.0
289,"[730, 722, 723, 702]",360.37068828148404,260.0
290,"[721, 703]",342.28174700383096,246.0
291,"[710, 709]",213.56689399935885,1.0
292,"[873, 867, 858, 830, 809, 780, 761, 744, 726, 713]",1244.9350411055682,1.0
293,[714],212.14732464239904,1.0
294,[715],122.99585833246148,96.0
295,"[727, 718]",262.37600047359985,1.0
296,[724],78.8853727351905,91.0
297,"[754, 755, 753, 748, 739, 738, 732]",740.9308540787746,74.0
298,[733],94.65091106926242,17.0
299,[736],49.4592278789527,1.0
300,[737],131.3163825494506,1.0
301,[740],27.447853194979924,305.0
302,[741],17.924248508337715,45.0
303,[742],77.66592292108213,202.0
304,[743],4.654211669065208,247.0
305,[745],74.85360882197202,2.0
306,[746],141.33540288789976,7.0
307,[747],173.94452486521993,18.0
308,[751],88.37663321001246,4.0
309,[752],84.43218372164094,301.0
310,"[758, 760]",59.12660905062961,1.0
311,[759],46.98269656169264,201.0
312,"[764, 763]",520.7851972345246,76.0
313,"[766, 767]",104.89027691225084,3.0
314,[768],62.897036636489744,1.0
315,[769],32.5485822328082,305.0
316,[770],6.959927004165753,305.0
317,[771],5.961918213521425,305.0
318,[772],126.09016675525484,5.0
319,"[807, 773]",84.68922212725533,201.0
320,[774],3.03695419073127,203.0
321,"[808, 791, 775]",135.26550968530935,1.0
322,[776],27.67203451024709,5.0
323,[777],0.8915249911144951,6.0
324,[781],111.2942831300754,22.0
325,[782],58.29427356073332,4.0
326,[783],82.04226516728578,18.0
327,[788],97.09431518060669,6.0
328,"[828, 789]",145.7524920366302,305.0
329,[790],64.06241162473947,1.0
330,[792],52.38413117716343,9.0
331,[793],73.93180597221705,392.0
332,[794],77.03541801094948,2.0
333,[806],12.87444227526802,202.0
334,"[832, 833, 820, 811]",275.16051426722015,17.0
335,"[815, 813]",282.48390065899,74.0
336,[814],116.04829552568262,1.0
337,[816],76.86202567747866,195.0
338,[817],49.799641553880605,7.0
339,"[859, 819]",279.48712921636735,668.0
340,"[824, 823, 821]",323.3722340822295,7.0
341,"[907, 869, 825]",440.9938255517726,7.0
342,"[856, 837, 838, 839]",128.41251002835676,500.0
343,[841],50.95252264489567,2.0
344,[844],118.76834084550548,3.0
345,[845],169.06361812600906,76.0
346,"[868, 846]",280.5452810420216,1.0
347,[847],184.61263482911787,1.0
348,"[849, 848]",303.17398760254054,75.0
349,"[897, 889, 850]",303.43280197732986,4.0
350,[851],90.55786575654876,71.0
351,"[890, 852]",302.8339317792873,66.0
352,"[863, 861]",223.8101702902455,2.0
353,"[906, 862]",478.3971466576121,5.0
354,[864],60.77500927144682,1.0
355,[865],36.71585087957667,498.0
356,[866],24.50704349032473,499.0
357,"[920, 898, 871]",803.6505956210135,3.0
358,"[899, 882, 883, 872]",326.5988821612922,500.0
359,[874],95.74006487278317,432.0
360,[875],13.818273240649262,433.0
361,"[878, 877, 876]",307.87627239633383,239.0
362,[879],133.78044519435028,256.0
363,"[888, 880]",38.546081536286664,233.0
364,"[894, 884]",363.60834963133465,1.0
365,[885],80.87688838030786,39.0
366,[886],36.784712117893335,40.0
367,[887],152.77869791961592,272.0
368,[892],115.54600763415984,26.0
369,[893],118.26434954367244,406.0
370,"[918, 909, 895]",353.42156266230734,4.0
371,[902],273.2993685117453,273.0
372,[903],57.52226797734672,3.0
373,[904],101.99572123923956,1.0
374,[905],102.33194137817992,69.0
375,"[945, 932, 908]",606.4098166942745,1.0
376,"[919, 912, 910]",447.16027410779697,1.0
377,[911],39.7267216489976,349.0
378,"[934, 928, 929, 927, 913]",498.4161899572549,353.0
379,"[930, 921, 915]",116.09379933036708,499.0
380,[924],49.18019123110884,5.0
381,"[941, 940, 933, 926, 925]",445.89447830730415,317.0
382,[935],74.51769059947098,498.0
383,"[936, 937]",77.50054172301265,1.0
384,[942],89.16141248049142,526.0
385,[943],254.62289195820344,4.0
386,"[951, 944]",196.74231580747696,499.0
387,[946],132.86163306359484,323.0
388,[947],69.91460140302544,530.0
389,[948],212.1619772849063,829.0
390,"[980, 953]",256.8351539174546,3.0
391,"[956, 955]",186.95781305574758,269.0
392,"[997, 974, 964, 965]",354.47426773698567,2.0
393,"[970, 971]",31.129459347469144,271.0
394,"[972, 973]",193.41261266341112,270.0
395,"[983, 982, 976]",371.5581105813914,27.0
396,"[1005, 992, 991, 977]",303.3425055401389,7.0
397,"[993, 978]",143.2921998805857,490.0
398,[979],8.542177182907103,499.0
399,[984],67.13729139842894,5.0
400,[987],5.098434381479227,12.0
401,[988],72.82002119831547,1.0
402,[989],87.43546457694063,1.0
403,[990],185.07308031979355,2.0
404,[994],240.82870100141508,1.0
405,"[1004, 999, 998]",433.9130713062342,2.0
406,"[1010, 1006, 1000]",257.8035727677965,492.0
